Date_UTC,MLT,MLAT,GLON,GLAT
2000-01-29 17:11:00,19.89,73.13,25.01,76.51
2000-01-29 17:31:00,2.68,65.13,147.89,70.62
2000-01-29 18:33:00,6.20,70.28,203.38,71.32
2000-01-29 22:23:00,23.88,66.34,16.03,69.30
2000-01-29 22:44:00,0.55,64.62,23.53,68.02
2000-01-30 07:25:00,22.14,67.50,238.77,61.76
2000-01-30 12:02:00,1.27,66.46,218.84,64.78
2000-01-30 12:24:00,1.66,66.46,218.84,64.78
2000-01-30 14:04:00,7.49,66.77,265.36,56.38
2000-01-30 15:18:00,0.71,65.13,147.89,70.62
2000-01-30 15:41:00,22.59,72.01,104.28,77.72
2000-01-30 16:05:00,21.61,73.88,76.54,79.30
2000-01-30 17:56:00,3.06,65.13,147.89,70.62
2000-01-30 18:22:00,20.37,67.30,22.22,70.54
2000-01-30 18:50:00,20.95,71.50,19.20,74.50
2000-01-30 19:13:00,21.38,66.28,27.01,69.76
2000-01-30 19:45:00,21.92,74.19,15.60,77.00
2000-01-30 21:50:00,23.64,63.42,24.08,66.90
2000-01-31 00:22:00,21.69,70.42,308.27,64.17
2000-01-31 01:03:00,22.60,73.06,309.28,67.02
2000-01-31 01:30:00,1.87,70.22,351.30,70.90
2000-01-31 06:16:00,23.55,69.07,265.91,58.76
2000-01-31 06:38:00,23.62,74.04,263.99,64.32
2000-01-31 10:01:00,23.13,66.46,218.84,64.78
2000-01-31 11:03:00,0.21,66.46,218.84,64.78
2000-01-31 14:59:00,20.65,68.69,80.70,73.53
2000-01-31 23:55:00,0.27,70.22,351.30,70.90
2000-02-01 13:12:00,2.64,66.13,220.89,64.05
2000-02-01 13:36:00,3.05,66.13,220.89,64.05
2000-02-01 16:48:00,22.27,68.69,80.70,73.53
2000-02-01 17:46:00,23.14,68.69,80.70,73.53
2000-02-01 20:51:00,22.90,71.50,19.20,74.50
2000-02-01 21:14:00,23.28,71.50,19.20,74.50
2000-02-02 00:42:00,23.96,64.85,338.30,64.18
2000-02-02 09:51:00,0.46,67.50,238.77,61.76
2000-02-02 11:45:00,2.45,67.50,238.77,61.76
2000-02-02 12:16:00,0.25,70.28,203.38,71.32
2000-02-02 15:18:00,20.92,68.69,80.70,73.53
2000-02-02 15:47:00,18.63,73.13,25.01,76.51
2000-02-02 21:30:00,2.74,68.69,80.70,73.53
2000-02-03 06:26:00,23.71,69.07,265.91,58.76
2000-02-03 06:50:00,22.03,69.53,245.52,62.48
2000-02-03 10:01:00,23.28,66.13,220.89,64.05
2000-02-03 14:00:00,22.70,70.28,137.71,75.94
2000-02-03 14:20:00,21.31,72.02,104.28,77.72
2000-02-03 18:11:00,23.53,68.69,80.70,73.53
2000-02-03 18:31:00,23.85,68.69,80.70,73.53
2000-02-03 19:52:00,1.15,68.69,80.70,73.53
2000-02-03 20:36:00,22.53,67.30,22.22,70.54
2000-02-03 20:57:00,23.01,71.50,19.20,74.50
2000-02-04 06:36:00,23.89,69.07,265.91,58.76
2000-02-04 13:41:00,1.69,70.28,203.38,71.32
2000-02-05 15:45:00,0.32,70.28,137.71,75.94
2000-02-05 17:25:00,5.15,70.28,203.38,71.32
2000-02-05 17:58:00,5.66,70.28,203.38,71.32
2000-02-05 18:46:00,6.42,70.28,203.38,71.32
2000-02-05 20:08:00,7.74,70.28,203.38,71.32
2000-02-05 20:49:00,4.82,66.06,128.92,71.59
2000-02-05 22:30:00,7.50,65.13,147.89,70.62
2000-02-06 00:34:00,1.58,62.02,10.99,64.94
2000-02-06 03:38:00,9.01,68.69,80.70,73.53
2000-02-06 04:38:00,4.12,64.85,338.30,64.18
2000-02-06 06:56:00,6.58,64.85,338.30,64.18
2000-02-06 08:00:00,23.55,62.09,246.65,54.62
2000-02-06 09:52:00,3.07,66.77,265.36,56.38
2000-02-06 10:16:00,22.96,65.29,212.14,64.87
2000-02-06 10:36:00,23.86,66.13,220.89,64.05
2000-02-06 14:12:00,9.37,65.82,282.26,55.28
2000-02-06 15:03:00,20.66,68.69,80.70,73.53
2000-02-06 15:23:00,4.15,65.29,212.14,64.87
2000-02-06 16:06:00,22.92,72.02,104.28,77.72
2000-02-06 16:46:00,4.56,70.28,203.38,71.32
2000-02-06 17:41:00,6.26,65.29,212.14,64.87
2000-02-06 18:53:00,6.54,70.28,203.38,71.32
2000-02-06 19:34:00,7.20,70.28,203.38,71.32
2000-02-06 19:54:00,20.34,70.22,351.30,70.90
2000-02-06 22:15:00,9.82,70.28,203.38,71.32
2000-02-06 22:42:00,6.94,70.28,137.71,75.94
2000-02-06 23:10:00,0.60,61.24,18.75,64.61
2000-02-06 23:32:00,1.49,63.82,26.63,67.37
2000-02-06 23:58:00,23.25,64.85,338.30,64.18
2000-02-07 01:45:00,3.60,64.62,23.53,68.02
2000-02-07 05:04:00,0.02,65.82,282.26,55.28
2000-02-07 06:16:00,21.72,67.67,248.07,60.03
2000-02-07 06:37:00,21.78,69.53,245.52,62.48
2000-02-07 06:57:00,22.26,73.18,248.75,65.75
2000-02-07 08:30:00,6.26,67.82,310.32,62.00
2000-02-07 09:03:00,22.31,66.13,220.89,64.05
2000-02-07 12:54:00,21.55,70.28,137.71,75.94
2000-02-07 13:23:00,2.22,65.29,212.14,64.87
